y,x1,x2,x3,x4,x5,x6,x7,x8,x9
0,0,0,45,0,165,47,3.3,91575,831.46
34,2,6.5,90,1,1050,120,10.5,603000,2978.83
21,1.5,3.5,85,1,500,86,7.6,225500,1466.12
20,1.7,7.5,90,1,840,121,12.5,335000,1487.94
28,0,0,80,1,1166,119,10.7,362300,1194.15
6,0,0,60,1,983,104,9.9,263776,679.41
7,0,0,60,1,345,103,6.2,112229,166.43
9,0,0,60,1,1519,93,9.8,325700,1670.39
7,0,0,60,1,340,79,5.2,191000,210.61
6,0,0,60,1,1307,103,11.9,560500,4276.09
8,0,0,60,1,509,114,7.4,225000,151.89
360,0,0,60,1,1790,88,8.1,459000,923.1
6,0,0,60,1,276,88,8.1,86000,164.74
5,0,0,60,1,923,80,9.7,247000,2540.12
16,10.7,9.5,80,1,1183,78,9.8,425000,2804.17
16,14.9,9,80,1,803,81,9.8,260000,540.23
16,100,9.5,80,1,38,44,1.4,104000,61.99
0,0,0,35,0,590,55,7.9,227586,1741.27
0,0,0,40,0,930,46,8.9,543000,812.19
0,15.1,5.5,40,0,1200,102,9.2,225800,916.34
0,0.5,5,40,0,530,42,13.6,215000,551.72
0,5.9,5.5,45,0,354,51,10.2,247000,634.44
0,4.3,5.5,40,0,274,61,7.4,125000,523.82
0,2.6,5.5,40,0,625,107,9.1,190000,456.31
4,0,0,25,0,285,47,6.5,75000,134.65
3,0,0,25,1,1337,113,8.6,502500,1922.88
9,0,0,30,1,590,55,7.9,227586,1741.27
6,0.3,10,45,1,930,46,8.9,543000,812.19
12,15.1,11,65,0,1200,102,9.2,225800,916.34
6,0.5,11,65,1,530,42,13.6,215000,551.72
152,5.9,15,90,1,354,51,10.2,247000,634.44
270,16,13,85,1,274,61,7.4,125000,523.82
66,19.2,13,85,1,625,107,9.1,190000,456.31
41,0,0,95,1,1610,59,11.1,340000,2507.35
11,0,0,75,0,165,47,3.3,91575,831.46
